Gender,Income,DaysWithoutFrequency,LifetimeValue,UseByTime,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,NumberOfFrequencies,AttendedClasses,NumberOfReferences,Dropout,EnrolledTime,DaysSinceLastVisit,LazinessIndex
1,2020.0,20,180.3,0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0,0,1,358,344,0.9343939642447106
1,7210.0,61,825.5,0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,0,0,1,1085,112,0.9838761689777491
0,4910.0,82,270.4,0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0,0,1,226,255,1.0
0,2520.0,43,129.6,0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0,1,155,836,0.732108687332568
0,1720.0,52,109.7,0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0,0,1,216,1109,0.9671969821223553
0,1680.0,112,476.1,0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,0,0,1,351,1618,1.0
1,1730.0,55,151.0,0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0,0,1,656,535,0.9835984910611776
0,2960.0,1,1988.6,0,0.0,1.0,0.0,0.0,0.0,0.0,370.0,0,0,0,1746,1,0.5998399359743898
1,0.0,5,816.2,0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,65,0,0,789,5,0.7129735935706085
0,2130.0,133,73.6,0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0,0,1,196,1639,0.7239475500345065
0,2490.0,7,1324.3,1,1.0,0.0,0.0,0.0,0.0,0.0,286.0,0,0,1,1137,7,0.737575856978842
1,5230.0,1,76.6,0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0,0,1,103,1275,0.9671969821223553
0,0.0,25,294.2,0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,13,0,1,699,482,0.9425947187141217
0,1910.0,25,45.1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,1,198,941,0.9666999666999667
0,1360.0,48,173.9,0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0,0,1,284,99,0.9355046759109964
0,4050.0,1,849.8,1,0.0,1.0,0.0,0.0,0.0,0.0,214.0,0,0,1,1140,1,0.5905368516833485
1,4790.0,74,887.7,0,0.0,1.0,1.0,0.0,1.0,0.0,18.0,17,0,1,1307,530,1.0
1,2320.0,132,310.2,0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0,0,1,282,150,1.0
0,2500.0,12,30.0,0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0,0,1,29,469,0.7239475500345065
1,0.0,1,836.3,0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,29,0,0,757,1,0.6635262449528936
0,2590.0,223,70.6,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0,0,1,237,1729,0.983053719708524
1,0.0,36,197.1,0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,13,0,1,150,1223,0.8455200823892894
1,0.0,5,708.2,0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,64,0,0,775,5,0.6555683122847302
1,0.0,5,1171.45,0,1.0,0.0,0.0,0.0,0.0,0.0,116.0,98,0,0,1056,5,0.5915985997666278
1,3180.0,343,121.1,0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0,0,1,348,1849,1.0
0,2110.0,289,85.9,1,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0,0,1,996,381,0.8537298878595807
1,2020.0,13,93.6,0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0,0,1,151,1200,0.7828918801563178
1,1490.0,31,101.6,0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0,0,1,151,1218,0.7742663656884876
0,1500.0,42,1286.0,0,1.0,1.0,0.0,0.0,0.0,0.0,213.0,24,0,1,1201,93,0.854885520799742
